Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,2170.000000,2183.350098,2154.250000,2169.800049,2100.451660,36398
2020-01-02,2173.100098,2177.899902,2150.000000,2157.449951,2088.496582,56619
2020-01-03,2169.000000,2223.000000,2162.550049,2200.399902,2130.073730,330173
2020-01-06,2201.000000,2226.399902,2188.300049,2200.149902,2129.831543,84845
2020-01-07,2201.000000,2214.800049,2184.000000,2205.149902,2134.671875,44109
2020-01-08,2200.000000,2259.949951,2200.000000,2255.050049,2182.977295,109402
2020-01-09,2251.050049,2251.050049,2210.449951,2216.000000,2145.175049,102267
2020-01-10,2216.000000,2233.000000,2208.000000,2213.850098,2143.093994,118682
2020-01-13,2221.000000,2221.000000,2185.199951,2191.000000,2120.974121,109319
2020-01-14,2199.000000,2229.750000,2198.750000,2207.199951,2136.656494,121577
2020-01-15,2219.000000,2231.550049,2195.000000,2226.550049,2155.388184,52151
2020-01-16,2225.000000,2248.949951,2220.399902,2238.399902,2166.859131,61468
2020-01-17,2242.000000,2254.199951,2213.050049,2218.050049,2147.159912,71372
2020-01-20,2194.000000,2241.649902,2156.699951,2170.250000,2100.887451,214236
2020-01-21,2174.949951,2185.000000,2160.000000,2171.449951,2102.049072,43940
2020-01-22,2175.500000,2210.100098,2175.500000,2206.500000,2135.979004,90713
2020-01-23,2206.500000,2217.199951,2182.399902,2193.449951,2123.345703,125220
2020-01-24,2193.449951,2193.449951,2170.600098,2184.600098,2114.778809,84902
2020-01-27,2180.000000,2193.449951,2165.000000,2168.649902,2099.338623,69104
2020-01-28,2172.300049,2187.149902,2153.000000,2184.050049,2114.246338,158542
2020-01-29,2187.250000,2187.600098,2148.649902,2152.699951,2083.898193,179971
2020-01-30,2161.000000,2165.449951,2125.500000,2138.050049,2069.716797,78850
2020-01-31,2140.000000,2145.000000,2072.399902,2079.300049,2012.844360,116613
2020-02-03,2164.000000,2193.949951,2093.750000,2103.149902,2035.931763,162662
2020-02-04,2134.899902,2137.550049,2087.949951,2107.699951,2040.336548,116533
2020-02-05,2125.000000,2158.000000,2105.750000,2145.250000,2076.686523,115764
2020-02-06,2155.000000,2174.250000,2116.000000,2128.699951,2060.665283,541706
2020-02-07,2142.000000,2150.600098,2119.000000,2136.699951,2068.409424,73624
2020-02-10,2136.699951,2166.949951,2119.800049,2162.350098,2093.239990,72009
2020-02-11,2164.899902,2174.000000,2147.000000,2151.649902,2082.881836,48006
2020-02-12,2157.000000,2184.800049,2152.000000,2170.500000,2101.129395,75247
2020-02-13,2170.000000,2197.000000,2169.949951,2191.600098,2121.555176,73682
2020-02-14,2181.000000,2211.550049,2170.949951,2183.800049,2114.004395,58034
2020-02-17,2199.899902,2216.149902,2190.000000,2203.250000,2132.832764,77670
2020-02-18,2209.899902,2221.350098,2186.750000,2215.300049,2144.497559,96139
2020-02-19,2215.000000,2228.850098,2190.100098,2194.600098,2124.459229,58248
2020-02-20,2215.000000,2215.000000,2152.050049,2156.300049,2087.383301,186124
2020-02-24,2157.000000,2178.949951,2106.649902,2116.300049,2048.661865,80671
2020-02-25,2117.000000,2176.000000,2111.050049,2155.899902,2086.996094,52702
2020-02-26,2156.000000,2163.600098,2113.100098,2123.050049,2055.196045,51900
2020-02-27,2140.000000,2140.000000,2086.850098,2103.899902,2036.657715,83108
2020-02-28,2080.000000,2080.000000,1990.400024,2000.949951,1936.998169,135017
2020-03-02,2025.099976,2054.600098,1985.699951,1999.900024,1935.981934,103572
2020-03-03,2004.000000,2060.000000,2004.000000,2038.900024,1973.735474,68762
2020-03-04,2045.500000,2093.000000,2026.000000,2083.149902,2016.571167,83356
2020-03-05,2085.000000,2147.000000,2085.000000,2124.899902,2056.986572,73872
2020-03-06,2125.000000,2125.000000,2073.000000,2117.899902,2050.210449,55592
2020-03-09,2080.000000,2080.050049,1936.000000,1972.199951,1909.167114,196607
2020-03-11,1955.000000,1988.349976,1923.599976,1954.550049,1892.081421,461132
2020-03-12,1915.000000,1915.000000,1759.199951,1769.849976,1713.284424,519323
2020-03-13,1690.650024,1819.000000,1504.400024,1807.300049,1749.537598,364701
2020-03-16,1769.000000,1843.349976,1677.000000,1698.050049,1643.779175,225552
2020-03-17,1725.000000,1731.000000,1623.000000,1658.199951,1605.202759,239263
2020-03-18,1688.000000,1712.349976,1628.000000,1650.949951,1598.184448,204763
2020-03-19,1581.000000,1685.750000,1547.300049,1636.099976,1583.809082,244595
2020-03-20,1637.000000,1867.949951,1627.000000,1798.000000,1740.534668,330779
2020-03-23,1648.199951,1742.550049,1620.000000,1662.650024,1609.510620,173724
2020-03-24,1740.000000,1767.599976,1652.050049,1702.849976,1648.425781,156649
2020-03-25,1700.000000,1810.000000,1681.000000,1752.199951,1696.198364,104880
2020-03-26,1815.000000,1880.900024,1723.000000,1806.699951,1748.956665,143192
2020-03-27,1839.000000,1850.000000,1752.000000,1818.599976,1760.476318,197136
2020-03-30,1769.000000,1907.000000,1763.349976,1776.150024,1719.383057,1324734
2020-03-31,1826.000000,1856.000000,1780.000000,1823.050049,1764.784180,133416
2020-04-01,1830.000000,1834.000000,1702.250000,1709.550049,1654.911743,212968
2020-04-03,1731.300049,1740.000000,1650.000000,1654.400024,1601.524292,170043
2020-04-07,1703.300049,1785.000000,1703.300049,1775.050049,1718.318237,167673
2020-04-08,1760.000000,1805.000000,1701.000000,1705.599976,1651.087891,159832
2020-04-09,1745.000000,1778.449951,1733.000000,1765.900024,1709.460693,126479
2020-04-13,1769.800049,1786.000000,1747.000000,1758.400024,1702.200439,72307
2020-04-15,1770.000000,1812.250000,1728.900024,1734.449951,1679.015747,150148
2020-04-16,1701.000000,1762.900024,1677.599976,1715.599976,1660.768433,240124
2020-04-17,1800.000000,1851.849976,1752.800049,1806.800049,1749.053467,309427
2020-04-20,1827.000000,1829.000000,1803.000000,1818.800049,1760.669922,101688
2020-04-21,1775.000000,1794.000000,1728.750000,1737.250000,1681.726440,149222
2020-04-22,1746.000000,1789.099976,1720.349976,1771.199951,1714.591309,103696
2020-04-23,1786.000000,1891.699951,1768.050049,1876.900024,1816.912964,453645
2020-04-24,1840.099976,1851.599976,1807.500000,1818.300049,1760.185913,93384
2020-04-27,1830.099976,1875.000000,1825.949951,1837.300049,1778.578735,82109
2020-04-28,1866.500000,1867.000000,1833.000000,1859.400024,1799.972412,56291
2020-04-29,1872.349976,1911.300049,1851.000000,1905.199951,1844.308472,138273
2020-04-30,1963.000000,2030.000000,1943.000000,2014.849976,1950.453979,146238
2020-05-04,1960.000000,1965.000000,1914.050049,1929.150024,1867.493164,117290
2020-05-05,1960.000000,1976.000000,1926.150024,1931.500000,1869.768066,67646
2020-05-06,1935.000000,1953.300049,1895.050049,1904.250000,1843.388916,84763
2020-05-07,1917.000000,1934.750000,1886.300049,1891.250000,1830.804443,86388
2020-05-08,1945.000000,1945.000000,1887.000000,1893.500000,1832.982544,64653
2020-05-11,1920.000000,1952.099976,1909.849976,1935.300049,1873.446655,212252
2020-05-12,1928.000000,1957.199951,1911.349976,1948.949951,1886.660156,97123
2020-05-13,1999.000000,1999.000000,1926.300049,1949.449951,1887.144165,63153
2020-05-14,1922.000000,1922.400024,1892.000000,1900.800049,1840.049316,67890
2020-05-15,1908.000000,1919.000000,1867.000000,1893.300049,1832.788940,72171
2020-05-18,1901.000000,1949.449951,1873.599976,1944.849976,1882.691406,97858
2020-05-19,1869.500000,1965.800049,1869.500000,1948.250000,1885.982788,547420
2020-05-20,1945.199951,1963.099976,1932.800049,1952.449951,1890.048340,68859
2020-05-21,1952.800049,1997.000000,1942.050049,1991.550049,1927.898804,73577
2020-05-22,1973.000000,2030.000000,1966.000000,2018.949951,1954.422974,84400
2020-05-26,2020.000000,2022.000000,1925.000000,1943.349976,1881.239258,111751
2020-05-27,1956.099976,2010.000000,1941.199951,2005.099976,1941.015625,85566
2020-05-28,1996.699951,2013.000000,1971.250000,2005.199951,1941.112427,110455
2020-05-29,1995.000000,2002.349976,1962.900024,1971.550049,1908.537964,222964
2020-06-01,1995.000000,2060.000000,1982.000000,2044.650024,1979.301636,129607
2020-06-02,2054.899902,2081.000000,2040.000000,2046.900024,1981.479614,74927
2020-06-03,2047.150024,2064.000000,2019.599976,2045.349976,1979.979248,96580
2020-06-04,2045.349976,2100.000000,2045.349976,2093.899902,2026.977661,115956
